Year,AL_CY,AR_CY,FL_CY,G_CY,KY_CY,LO_CY,MI_CY,NC_CY,SC_CY,TN_CY,VG_CY,WV_CY,SE_CY,AL_SY,AR_SY,FL_SY,G_SY,KY_SY,LO_SY,MI_SY,NC_SY,SC_SY,TN_SY,VG_SY,WV_SY,SE_SY,AL_SPEI,AR_SPEI,FL_SPEI,G_SPEI,KY_SPEI,LO_SPEI,MI_SPEI,NC_SPEI,SC_SPEI,TN_SPEI,VG_SPEI,WV_SPEI,SE_SPEI,Detrended Corn Yield
1980,2510.8,2196.95,2824.65,2510.8,4268.36,3075.73,2259.72,3766.2,2950.19,3452.35,3766.2,4896.06,3206.500833,941.55,1004.32,1380.94,753.24,1412.33,1255.4,1004.32,1129.86,816.01,1129.86,941.55,,1069.943636,0.02,-1.52,-0.39,-0.69,-0.94,0.21,0.26,-0.99,-1.26,-1.11,-0.89,0.62,-0.56,-635.82687
1981,3452.35,4080.05,2824.65,3138.5,6088.69,3766.2,3640.66,4833.29,3640.66,5272.68,5649.3,5774.84,4346.8225,1443.71,1632.02,1506.48,1192.63,1820.33,1318.17,1318.17,1569.25,1255.4,1569.25,1757.56,,1489.360909,-0.29,0.66,-0.5,-0.26,0.89,0.01,-0.27,0.11,-0.04,0.56,-0.03,0.44,0.11,355.11424
1982,3766.2,3954.51,3891.74,4707.75,6402.54,4080.05,3891.74,6214.23,5523.76,5649.3,6339.77,6151.46,5047.754167,1569.25,1569.25,1632.02,1694.79,1977.26,1632.02,1632.02,1569.25,1380.94,1663.41,1820.33,,1649.14,0.46,0.31,1.44,0.79,0.39,0.21,0.4,0.13,0.72,0.27,0.06,-0.34,0.4,906.66535
1983,3452.35,4707.75,4142.82,4393.9,3138.5,5021.6,3515.12,3138.5,3766.2,3012.96,3138.5,5774.84,3933.586667,1255.4,1129.86,1569.25,1318.17,1067.09,1632.02,1192.63,1255.4,1035.71,1004.32,1004.32,,1224.015455,0.46,0.31,1.44,0.79,0.39,0.21,0.4,0.13,0.72,0.27,0.06,-0.34,0.4,-356.88271
1984,4331.13,5649.3,3891.74,5335.45,6088.69,6590.85,3766.2,5837.61,4770.52,5649.3,6339.77,6151.46,5366.835,1318.17,1569.25,1506.48,1255.4,1820.33,1726.18,1506.48,1632.02,1255.4,1632.02,1851.72,,1552.131818,0.46,0.31,1.44,0.79,0.39,0.21,0.4,0.13,0.72,0.27,0.06,-0.34,0.4,926.98506
1985,4142.82,5712.07,4080.05,5021.6,6277,7532.4,4268.36,4707.75,5084.37,5963.15,5774.84,6402.54,5413.9125,1694.79,1632.02,1632.02,1506.48,2134.18,1318.17,1694.79,1443.71,1255.4,1945.87,1569.25,,1620.607273,-0.13,-0.2,0.09,0.05,-0.21,-0.48,-0.28,-0.44,-0.03,-0.33,-0.38,-0.57,-0.24,824.682
1986,3452.35,7030.24,3766.2,3766.2,5523.76,7532.4,4896.06,3891.74,2824.65,5021.6,3138.5,5963.15,4733.904167,1443.71,1129.86,1443.71,1192.63,2008.64,1255.4,1067.09,1506.48,1035.71,1569.25,1506.48,,1378.087273,-0.93,0.05,-0.52,-1.29,-1.13,-0.48,-0.82,-0.98,-1.09,-0.98,-1.27,-1.09,-0.88,-4.70689
1987,4707.75,6904.7,4080.05,5649.3,6402.54,7281.32,5021.6,4393.9,5021.6,5837.61,3891.74,5774.84,5413.9125,1129.86,1443.71,1569.25,1318.17,1663.41,1569.25,1224.02,1537.87,1380.94,1443.71,1380.94,,1423.739091,-0.45,-0.52,-0.36,-0.06,-0.74,0.1,-0.43,0.24,0.47,-0.81,0.52,-0.29,-0.19,525.92088
1988,2636.34,5649.3,3452.35,4080.05,4080.05,5649.3,3452.35,5335.45,3452.35,4080.05,4519.44,3138.5,4127.1275,1569.25,1318.17,1820.33,1569.25,1663.41,1820.33,1380.94,1694.79,1475.1,1632.02,1757.56,,1609.195455,-0.14,-1.03,-0.04,-0.12,-1.32,-0.02,-0.5,-0.46,-0.22,-1.21,-0.62,-1.52,-0.6,-910.24467
1989,5021.6,7532.4,4833.29,6277,7030.24,6904.7,5021.6,5963.15,5649.3,6590.85,6653.62,5963.15,6120.075,1318.17,1380.94,1380.94,1632.02,1977.26,1380.94,1255.4,1694.79,1318.17,1506.48,2008.64,,1532.159091,1.22,1.11,-0.33,0.96,0.84,1.39,1.36,1.39,1.26,1.2,1.54,1.67,1.13,933.32227
1990,3766.2,6590.85,4456.67,3891.74,6088.69,6904.7,4707.75,3954.51,3138.5,5021.6,5649.3,5963.15,5011.138333,1192.63,1443.71,1569.25,1192.63,1883.1,1506.48,1255.4,1632.02,1192.63,1443.71,1945.87,,1477.948182,-0.93,0.76,-0.78,-1.05,-0.04,-0.42,-0.56,-0.37,-0.95,-0.6,0.33,0.49,-0.34,-324.99496
1991,4707.75,6590.85,4393.9,6277,5649.3,5963.15,4707.75,5649.3,5523.76,5586.53,5021.6,4393.9,5372.065833,1506.48,1569.25,1632.02,1694.79,1632.02,1443.71,1380.94,1632.02,1443.71,1506.48,1820.33,,1569.25,1.2,1.18,1.1,1.36,-0.46,1.98,1.96,0.52,1.32,0.71,-0.52,-1.14,0.77,-113.44802
1992,5147.14,6590.85,5021.6,5963.15,7281.32,6904.7,5774.84,5335.45,5209.91,6716.39,6590.85,6277,6067.766667,1694.79,1883.1,2008.64,1694.79,2134.18,1757.56,1694.79,1757.56,1318.17,1945.87,1945.87,,1803.210909,0.12,0.36,0.4,0.63,0.21,0.47,0.16,0.69,0.93,0.12,0.68,0.37,0.43,432.87226
1993,4080.05,7846.25,3640.66,4080.05,6277,6904.7,5021.6,3452.35,2196.95,5021.6,3766.2,6277,4880.3675,1506.48,1632.02,1945.87,1067.09,2071.41,1569.25,1569.25,1506.48,941.55,1757.56,1318.17,,1535.011818,-0.16,0.14,-1.02,-0.79,-0.11,0.35,0.35,-0.65,-0.97,-0.24,-0.4,-0.79,-0.36,-903.90747
1994,5649.3,7532.4,4707.75,6528.08,7281.32,6904.7,6402.54,5649.3,4331.13,7532.4,5900.38,5649.3,6172.383333,1820.33,2008.64,1506.48,1883.1,2071.41,1694.79,1694.79,1820.33,1443.71,2008.64,1883.1,,1803.210909,1.17,0.63,0.83,1.36,0.07,0.87,0.73,0.36,0.68,1.37,0.38,0.58,0.75,238.7278
1995,4393.9,7846.25,4833.29,6277,7657.94,6590.85,5963.15,6590.85,5586.53,7532.4,6277,6904.7,6371.155,1569.25,1883.1,2008.64,1506.48,2322.49,1883.1,1757.56,1443.71,1506.48,2071.41,1694.79,,1786.091818,-0.6,-0.03,0.73,-0.07,0.33,0.48,-0.1,0.38,0.72,-0.13,-0.07,-0.31,0.11,288.11891
1996,5021.6,5963.15,5021.6,5649.3,7657.94,6904.7,5837.61,6025.92,4707.75,6904.7,7532.4,6277,6125.305833,1757.56,1883.1,1883.1,1632.02,2259.72,1945.87,1694.79,1945.87,1632.02,2008.64,2008.64,,1877.393636,0.32,0.43,-0.06,0.02,1.06,0.32,0.18,1.16,0.33,0.58,1.37,1.67,0.62,-107.11081
1997,5963.15,6904.7,6277,6904.7,6779.16,7218.55,6590.85,5335.45,6277,6590.85,5209.91,5963.15,6334.539167,1820.33,2008.64,1883.1,1569.25,2259.72,1820.33,1757.56,1632.02,1506.48,2134.18,1757.56,,1831.742727,0.57,0.18,0.15,0.12,0.13,0.55,0.83,-0.5,0.29,0.32,-0.76,-0.27,0.13,-47.25804
1998,3766.2,7218.55,3766.2,5523.76,7846.25,5021.6,5021.6,4393.9,2510.8,6590.85,5649.3,6590.85,5324.988333,1569.25,1757.56,1443.71,1380.94,2196.95,1380.94,1694.79,1632.02,1192.63,2196.95,1380.94,,1620.607273,-0.6,-0.96,-1.46,-0.26,0.79,-0.79,-0.86,-0.09,0.11,0.86,-0.42,0.25,-0.29,-1206.18943
1999,6277,7846.25,5523.76,6088.69,6151.46,7971.79,6904.7,5649.3,4393.9,6151.46,5021.6,4080.05,6004.996667,1129.86,1757.56,1883.1,1255.4,1318.17,1569.25,1569.25,1694.79,1318.17,1255.4,1506.48,,1477.948182,-0.5,-0.47,-0.45,-0.73,-1.72,-0.7,-1.03,0.47,-0.41,-0.97,-0.55,-1.9,-0.75,-675.56166
2000,4393.9,7532.4,4707.75,6277,7971.79,6779.16,6465.31,6904.7,4393.9,6779.16,8473.95,8160.1,6569.926667,1192.63,1632.02,1192.63,1318.17,2259.72,1443.71,1443.71,1883.1,1443.71,1632.02,2134.18,2950.19,1710.4825,-1.6,-0.64,-1.29,-0.91,-0.02,-1.04,-1.39,0.16,-0.69,-0.5,0.88,0.74,-0.53,-260.01222
2001,6904.7,9101.65,5460.99,7532.4,8160.1,8473.95,8034.56,7093.01,6277,7971.79,7155.78,7532.4,7474.860833,1945.87,1945.87,1820.33,1632.02,2510.8,2008.64,2008.64,2008.64,1506.48,2071.41,2071.41,2636.34,2013.870833,0.55,-0.51,0.78,0.26,-0.42,0.97,0.54,-0.08,-0.38,-0.28,0.21,0.4,0.17,495.54139
2002,5272.68,8787.8,6025.92,8160.1,6528.08,8160.1,7846.25,4519.44,2196.95,6653.62,4582.21,6590.85,6277,1757.56,2134.18,2071.41,1506.48,1883.1,2071.41,2071.41,1506.48,1129.86,1883.1,1443.71,2322.49,1815.099167,-0.65,0.04,0.46,-0.3,-0.17,-0.28,-0.33,-1.08,-0.63,-0.56,-1.08,-0.21,-0.4,-851.7
2003,7030.24,8787.8,5147.14,8473.95,8536.72,8787.8,8160.1,6904.7,7155.78,8160.1,8160.1,7218.55,7710.248333,1945.87,2134.18,1883.1,2071.41,2385.26,2008.64,2134.18,1757.56,1569.25,2259.72,2134.18,2573.57,2071.41,1.73,0.45,0.86,1.32,1.46,0.06,1.03,1.71,1.67,1.51,1.94,1.68,1.29,432.16777
2004,7532.4,8787.8,5649.3,8160.1,8913.34,8473.95,8536.72,7218.55,5963.15,8787.8,8976.11,8222.87,7935.174167,2196.95,2448.03,2134.18,1883.1,2573.57,1945.87,2322.49,2008.64,1632.02,2448.03,2259.72,2887.42,2228.335,0.62,0.49,0.49,0.81,0.97,0.88,0.71,0.99,0.7,0.66,1.27,1.18,0.81,507.71305
2005,7406.86,7846.25,5900.38,7846.25,7657.94,8787.8,8473.95,7218.55,6590.85,7783.48,7783.48,6841.93,7511.476667,2008.64,2134.18,2008.64,2008.64,2448.03,2196.95,2196.95,1945.87,1757.56,2448.03,2134.18,2196.95,2123.718333,1.31,-0.9,0.8,1.4,-0.37,-1.02,0.35,-0.02,0.72,0.14,-0.26,-0.37,0.15,-65.36501
