OBJECTID *,Shape *,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM,Shape_Length,Shape_Area
1817,Polygon,8360254,SF,KY Division of Mine Permits,KYDMP,KY8360254,ACT,54835.20548,156.011859,WAYLAND,P1,LOCUST GROVE INC,HAZARD,  MI   5  09/13/2018  MI   4  06/07/2016  MI   3  04/12/2002,Active,9/1/1994,PERMANENT,8360223,54835.20548,6795876.601
1883,Polygon,8360389,SF,KY Division of Mine Permits,DMP E_Shape,KY8360389,ACT,117432.6265,776.269528,LANCER,P1,MATT/CO INC,PIKEVILLE,  RN   2  02/09/2021  AM   1  03/27/2019  MT   3  03/05/2018,Active,1/25/2011,PERMANENT,8360389,117432.6265,33814300.63
1920,Polygon,8360417,SF,KY Division of Mine Permits,DMP E_Shape,KY8360417,ACT,139121.6419,422.389511,HAROLD,SP,METELECTRIC ENERGY LLC,PIKEVILLE,  AM   3  11/18/2019  RN   3  10/21/2019  MT   4  10/02/2017,Active,3/28/2014,PERMANENT,8360292,139121.6416,18399287.17
1933,Polygon,8360427,SF,KY Division of Mine Permits,KYDMP,KY8360427,ACT,11075.91564,22.218399,MCDOWELL,O2,"SOUTHEASTERN LAND, LLC",HAZARD,  RN   3  04/06/2021  MT   4  01/02/2019  MA   4  11/03/2017,Active,6/12/2014,PERMANENT,8360306,11075.91564,967833.4801
1937,Polygon,8360434,SF,KY Division of Mine Permits,CHIA,KY8360434,ACT,56527.237,570.48063,MCDOWELL,A1,REVELATION ENERGY LLC,HAZARD,  MT   3  01/21/2020  MI   2  04/04/2018  RN   1  10/25/2017,Active,7/31/2015,PERMANENT,8360398,56527.237,24850136.29
1942,Polygon,8360437,SF,KY Division of Mine Permits,KYDMP,KY8360437,ACT,40198.25375,234.750218,MCDOWELL,RV,REVELATION ENERGY LLC,HAZARD,  MT   3  04/04/2018  MT   2  06/07/2016  SU   3  07/07/2015,Active,7/7/2015,PERMANENT,8360349,40198.25341,10225718.94
1946,Polygon,8360440,SF,KY Division of Mine Permits,KYDMP,KY8360440,ACT,49381.38129,189.424484,WAYLAND,RV,REVELATION ENERGY LLC,HAZARD,  FR   3  09/21/2018  SU   4  04/18/2016  MT   3  07/28/2016,Active,4/18/2016,PERMANENT,8360322,49381.38131,8251330.45
1950,Polygon,8360442,SF,KY Division of Mine Permits,KYDMP,KY8360442,ACT,107965.4535,695.296564,THOMAS,A2,REVELATION ENERGY LLC,PIKEVILLE,  MT   3  10/06/2016  SU   1  10/01/2015,Active,10/1/2015,PERMANENT,8360355,107965.4535,30287118.48
1953,Polygon,8360444,SF,KY Division of Mine Permits,DMP E_Shape,KY8360444,ACT,100352.7511,415.428612,MARTIN,A2,"SPURLOCK MINING, LLC",HAZARD,  MT   3  02/03/2020  MI   3  07/19/2019  RN   1  12/14/2017,Active,4/4/2016,PERMANENT,8360409,100352.7493,18096070.27
1954,Polygon,8360445,SF,KY Division of Mine Permits,DMP E_Shape,KY8360445,ACT,61658.69933,295.262369,MARTIN,P1,"SPURLOCK MINING, LLC",HAZARD,  AM   2  04/16/2021  MT   3  06/22/2018  SU   2  06/03/2016,Active,6/3/2016,PERMANENT,8360358,61658.70124,12861628.57
1956,Polygon,8360446,SF,KY Division of Mine Permits,DMP E_Shape,KY8360446,ACT,111916.5666,524.375299,MCDOWELL,P1,"SPURLOCK MINING, LLC",HAZARD,  MT   5  03/10/2021  MI  10  06/05/2019  MA   9  05/02/2019,Active,1/11/2017,PERMANENT,8360332,111916.5629,22841787.94
1958,Polygon,8360447,SF,KY Division of Mine Permits,DMP E_Shape,KY8360447,ACT,87317.08103,329.798683,HAROLD,P1,"SPURLOCK MINING, LLC",HAZARD,  MA  12  04/20/2021  MT   5  12/29/2020  FR   6  01/07/2020,Active,3/31/2016,PERMANENT,8360339,87317.07984,14366030.87
1960,Polygon,8360448,SF,KY Division of Mine Permits,DMP E_Shape,KY8360448,ACT,43288.26604,163.684304,HAROLD,A2,"SPURLOCK MINING, LLC",HAZARD,  MT   5  10/08/2020  MI   8  09/13/2018  MI   7  09/07/2018,Active,7/7/2016,PERMANENT,8360350,43288.26087,7130088.325
1961,Polygon,8360449,SF,KY Division of Mine Permits,DMP E_Shape,"KY8360449
",ACT,63837.92213,411.434449,IVYTON,ND,"SPURLOCK MINING, LLC",HAZARD,  MT   5  04/19/2021  MT   4  08/17/2020  RN   2  02/08/2019,Active,5/26/2016,PERMANENT,8360348,39677.71345,10273449.7
1963,Polygon,8360450,SF,KY Division of Mine Permits,KYDMP,KY8360450,ACT,76160.02085,350.942911,IVYTON,P1,EMBER ENERGY LLC,HAZARD,  MT   3  10/25/2018  MA   2  02/21/2018  RN   1  07/07/2016,Active,12/15/2015,PERMANENT,8360356,40865.95704,7268449.263
1964,Polygon,8360451,SF,KY Division of Mine Permits,KYDMP,KY8360451,ACT,73930.52789,168.193112,DAVID,A2,EMBER ENERGY LLC,HAZARD,  MA   7  03/22/2019  FR   8  08/18/2016  MT   7  01/25/2017,Active,2/10/2016,PERMANENT,8360074,65476.08655,7054092.717
1965,Polygon,8360452,SF,KY Division of Mine Permits,DMP E_Shape,KY8360452,ACT,54528.44237,700.936193,IVYTON,A2,EMBER ENERGY LLC,HAZARD,  MA   9  03/22/2019  FR   6  07/07/2016  SU   5  02/23/2016,Active,2/23/2016,PERMANENT,8360068,49547.9355,24477833.58
1967,Polygon,8360453,SF,KY Division of Mine Permits,KYDMP,KY8360453,ACT,16315.99654,22.946772,IVYTON,A1,EMBER ENERGY LLC,HAZARD,  FR   2  09/19/2017  MT   6  04/22/2016  SU   5  12/15/2015,Active,12/15/2015,PERMANENT,2360242,16315.99654,999561.3284
1968,Polygon,8360454,SF,KY Division of Mine Permits,KYDMP,KY8360454,ACT,40332.40089,104.977241,WAYLAND,A2,LIBERTY MANAGEMENT LLC,HAZARD,  FR   1  09/08/2016  SU   1  11/05/2015,Active,11/5/2015,PERMANENT,8360326,40332.40124,4572808.542
1972,Polygon,8360456,SF,KY Division of Mine Permits,CHIA,KY8360456,ACT,12337.60333,43.471163,DAVID,P2,LIBERTY MANAGEMENT LLC,HAZARD,  MI   4  12/08/2016  MT   2  08/01/2016  SU   3  11/05/2015,Active,11/5/2015,PERMANENT,8360320,12337.60333,1893603.838
1973,Polygon,8360457,SF,KY Division of Mine Permits,KYDMP,KY8360457,ACT,77371.0772,301.539887,MARTIN,P2,LIBERTY MANAGEMENT LLC,HAZARD,  MI   2  09/13/2016  FR   2  09/09/2016  SU   2  11/05/2015,Active,11/5/2015,PERMANENT,8360342,77371.0772,13135077.59
1975,Polygon,8360458,SF,KY Division of Mine Permits,KYDMP,KY8360458,ACT,84190.76184,265.962228,MARTIN,P1,LIBERTY MANAGEMENT LLC,HAZARD,  FR   2  09/09/2016  SU   2  11/05/2015,Active,11/5/2015,PERMANENT,8360343,84190.76184,11585314.62
1979,Polygon,8360460,SF,KY Division of Mine Permits,KYDMP,KY8360460,ACT,14197.70479,73.655847,MARTIN,P1,"SPURLOCK MINING, LLC",HAZARD,  RN   3  03/30/2021  MT   4  05/01/2018  MI   5  12/13/2016,Active,9/19/2016,PERMANENT,8360311,14197.70479,3208448.708
1981,Polygon,8360461,SF,KY Division of Mine Permits,KYDMP,KY8360461,ACT,40260.84358,566.96395,BROAD BOTTOM,P2,LEXINGTON COAL COMPANY LLC,PIKEVILLE,  MI   5  03/25/2019  SU   4  11/16/2018,Active,11/16/2018,PERMANENT,8360267,40260.84358,24696949.58
1982,Polygon,8360469,SF,KY Division of Mine Permits,DMP E_Shape,KY8360469,ACT,35481.39947,210.480492,MCDOWELL,A2,"CARDINAL RECLAMATION COMPANY, LLC",HAZARD,  SU   2  01/06/2021,Active,1/6/2021,PERMANENT,8360399,35481.30784,9168530.321
